Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF,Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed
1159.000000,64612.000000,1159.000000,65340.000000,1159.000000,63328.000000,1159.000000,65490.000000,1159.000000,15236.000000,1159.000000,19.000000,1159.000000,3.000000,1159.000000,-7.000000,1159.000000,1002.000000,1159.000000,-98.000000,1159.000000,-117.000000,1159.000000,-86.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1160.000000,0.000000,1161.000000,0.000000,1161.000000,0.000000,1161.000000,0.000000,1161.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000
1159.000000,64540.000000,1159.000000,65342.000000,1159.000000,63260.000000,1159.000000,65496.000000,1159.000000,15120.000000,1159.000000,23.000000,1159.000000,-1.000000,1159.000000,-11.000000,1159.000000,995.000000,1159.000000,-37.000000,1159.000000,66.000000,1159.000000,36.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1162.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1165.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000
1159.000000,64560.000000,1159.000000,65345.000000,1159.000000,63328.000000,1159.000000,65488.000000,1159.000000,15252.000000,1159.000000,27.000000,1159.000000,0.000000,1160.000000,-7.000000,1160.000000,1003.000000,1160.000000,54.000000,1160.000000,-178.000000,1160.000000,158.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1164.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1169.000000,0.000000,1182.000000,0.000000,1182.000000,0.000000
1160.000000,64500.000000,1160.000000,65346.000000,1160.000000,63360.000000,1160.000000,65496.000000,1160.000000,15172.000000,1160.000000,17.000000,1160.000000,-4.000000,1160.000000,-5.000000,1160.000000,999.000000,1160.000000,85.000000,1160.000000,66.000000,1160.000000,-147.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1166.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1173.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000
1160.000000,64500.000000,1160.000000,65346.000000,1160.000000,63360.000000,1160.000000,65496.000000,1160.000000,15172.000000,1160.000000,17.000000,1160.000000,-4.000000,1160.000000,-5.000000,1160.000000,999.000000,1161.000000,85.000000,1161.000000,66.000000,1161.000000,-147.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1168.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1176.000000,0.000000,1204.000000,0.000000,1204.000000,0.000000
1161.000000,64476.000000,1161.000000,65345.000000,1161.000000,63428.000000,1161.000000,65497.000000,1161.000000,15172.000000,1161.000000,24.000000,1161.000000,-5.000000,1161.000000,-1.000000,1161.000000,999.000000,1161.000000,54.000000,1161.000000,96.000000,1161.000000,67.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1170.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1180.000000,0.000000,1378.000000,0.000000,1378.000000,0.000000
1161.000000,64516.000000,1161.000000,65348.000000,1161.000000,63356.000000,1161.000000,65489.000000,1161.000000,15048.000000,1161.000000,27.000000,1161.000000,-3.000000,1161.000000,-6.000000,1161.000000,991.000000,1161.000000,146.000000,1161.000000,-148.000000,1161.000000,158.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1172.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1185.000000,0.000000,1613.000000,0.000000,1613.000000,0.000000
1162.000000,64664.000000,1162.000000,65340.000000,1162.000000,63360.000000,1162.000000,65486.000000,1162.000000,15208.000000,1162.000000,21.000000,1162.000000,6.000000,1162.000000,-5.000000,1162.000000,1001.000000,1162.000000,-98.000000,1162.000000,-239.000000,1162.000000,-25.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1174.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1189.000000,0.000000,1855.000000,0.000000,1855.000000,0.000000
1162.000000,64664.000000,1162.000000,65340.000000,1162.000000,63360.000000,1162.000000,65486.000000,1162.000000,15208.000000,1162.000000,21.000000,1162.000000,6.000000,1162.000000,-5.000000,1162.000000,1001.000000,1162.000000,-98.000000,1162.000000,-239.000000,1163.000000,-25.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1175.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,1193.000000,0.000000,2087.000000,0.000000,2087.000000,0.000000
1163.000000,64672.000000,1163.000000,65348.000000,1163.000000,63328.000000,1163.000000,65493.000000,1163.000000,15160.000000,1163.000000,20.000000,1163.000000,7.000000,1163.000000,-7.000000,1163.000000,998.000000,1163.000000,146.000000,1163.000000,-26.000000,1163.000000,-55.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1177.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,1197.000000,0.000000,2330.000000,0.000000,2330.000000,0.000000
