Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed
1077.000000,64488.000000,1077.000000,65346.000000,1077.000000,63436.000000,1077.000000,65493.000000,1077.000000,15144.000000,1077.000000,27.000000,1077.000000,-1.000000,1077.000000,-1.000000,1077.000000,1001.000000,1077.000000,64.000000,1077.000000,-15.000000,1077.000000,127.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1078.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1079.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000
1077.000000,64524.000000,1077.000000,65346.000000,1077.000000,63492.000000,1077.000000,65492.000000,1077.000000,15076.000000,1077.000000,25.000000,1077.000000,1.000000,1077.000000,3.000000,1077.000000,997.000000,1077.000000,64.000000,1077.000000,-45.000000,1078.000000,66.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1083.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1081.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000
1078.000000,64556.000000,1078.000000,65344.000000,1078.000000,63444.000000,1078.000000,65495.000000,1078.000000,15168.000000,1078.000000,23.000000,1078.000000,3.000000,1078.000000,0.000000,1078.000000,1002.000000,1078.000000,3.000000,1078.000000,46.000000,1078.000000,5.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1084.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000
1078.000000,64516.000000,1078.000000,65344.000000,1078.000000,63436.000000,1078.000000,65492.000000,1078.000000,15184.000000,1078.000000,19.000000,1078.000000,0.000000,1078.000000,-1.000000,1078.000000,1003.000000,1078.000000,3.000000,1078.000000,-45.000000,1078.000000,-117.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1086.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000
1078.000000,64516.000000,1078.000000,65344.000000,1079.000000,63436.000000,1079.000000,65492.000000,1079.000000,15184.000000,1079.000000,19.000000,1079.000000,0.000000,1079.000000,-1.000000,1079.000000,1003.000000,1079.000000,3.000000,1079.000000,-45.000000,1079.000000,-117.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1088.000000,0.000000,1124.000000,0.000000,1124.000000,0.000000
1079.000000,64480.000000,1079.000000,65346.000000,1079.000000,63416.000000,1079.000000,65495.000000,1079.000000,15116.000000,1079.000000,22.000000,1079.000000,-2.000000,1079.000000,-2.000000,1079.000000,999.000000,1079.000000,64.000000,1079.000000,46.000000,1079.000000,-25.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1091.000000,0.000000,1352.000000,0.000000,1352.000000,0.000000
1079.000000,64452.000000,1079.000000,65336.000000,1079.000000,63472.000000,1079.000000,65485.000000,1079.000000,15036.000000,1079.000000,21.000000,1079.000000,-4.000000,1079.000000,2.000000,1079.000000,994.000000,1080.000000,-241.000000,1080.000000,-259.000000,1080.000000,-56.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1093.000000,0.000000,1587.000000,0.000000,1587.000000,0.000000
1080.000000,64512.000000,1080.000000,65346.000000,1080.000000,63448.000000,1080.000000,65497.000000,1080.000000,15232.000000,1080.000000,19.000000,1080.000000,0.000000,1080.000000,0.000000,1080.000000,1006.000000,1080.000000,64.000000,1080.000000,107.000000,1080.000000,-117.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1109.000000,0.000000,1095.000000,0.000000,1095.000000,0.000000,1095.000000,0.000000,1095.000000,0.000000,1095.000000,0.000000,1095.000000,0.000000,1096.000000,0.000000,1096.000000,0.000000,1096.000000,0.000000,1829.000000,0.000000,1829.000000,0.000000
1080.000000,64580.000000,1080.000000,65349.000000,1080.000000,63344.000000,1080.000000,65493.000000,1080.000000,15016.000000,1080.000000,28.000000,1080.000000,4.000000,1080.000000,-6.000000,1080.000000,993.000000,1080.000000,156.000000,1080.000000,-15.000000,1080.000000,158.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,2064.000000,0.000000,2064.000000,0.000000
1080.000000,64580.000000,1080.000000,65349.000000,1081.000000,63344.000000,1081.000000,65493.000000,1081.000000,15016.000000,1081.000000,28.000000,1081.000000,4.000000,1081.000000,-6.000000,1081.000000,993.000000,1081.000000,156.000000,1081.000000,-15.000000,1081.000000,158.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1117.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,1099.000000,0.000000,2305.000000,0.000000,2305.000000,0.000000
