Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed
1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,0.000000,1097.000000,64428.000000,1097.000000,65346.000000,1097.000000,63480.000000,1097.000000,65493.000000,1097.000000,15248.000000,1097.000000,20.000000,1097.000000,-10.000000,1097.000000,2.000000,1097.000000,1005.000000,1097.000000,61.000000,1098.000000,-10.000000,1098.000000,-72.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1098.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000
1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1102.000000,0.000000,1098.000000,64428.000000,1098.000000,65351.000000,1098.000000,63416.000000,1098.000000,65504.000000,1098.000000,15068.000000,1098.000000,23.000000,1098.000000,-10.000000,1098.000000,-2.000000,1098.000000,994.000000,1098.000000,214.000000,1098.000000,326.000000,1098.000000,19.000000,1100.000000,0.000000,1100.000000,0.000000,1100.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1101.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000
1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1106.000000,0.000000,1098.000000,64428.000000,1098.000000,65351.000000,1098.000000,63416.000000,1098.000000,65504.000000,1098.000000,15068.000000,1098.000000,23.000000,1098.000000,-10.000000,1098.000000,-2.000000,1099.000000,994.000000,1099.000000,214.000000,1099.000000,326.000000,1099.000000,19.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1103.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000
1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1099.000000,64496.000000,1099.000000,65353.000000,1099.000000,63400.000000,1099.000000,65496.000000,1099.000000,15180.000000,1099.000000,23.000000,1099.000000,-6.000000,1099.000000,-3.000000,1099.000000,1001.000000,1099.000000,275.000000,1099.000000,82.000000,1099.000000,19.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1105.000000,0.000000,1136.000000,0.000000,1136.000000,0.000000
1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1115.000000,0.000000,1099.000000,64392.000000,1099.000000,65347.000000,1099.000000,63272.000000,1099.000000,65494.000000,1099.000000,15096.000000,1099.000000,19.000000,1099.000000,-12.000000,1099.000000,-11.000000,1099.000000,996.000000,1099.000000,92.000000,1099.000000,21.000000,1099.000000,-103.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1107.000000,0.000000,1146.000000,0.000000,1146.000000,0.000000
1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1119.000000,0.000000,1099.000000,64432.000000,1099.000000,65347.000000,1099.000000,63444.000000,1099.000000,65494.000000,1099.000000,15064.000000,1099.000000,20.000000,1100.000000,-10.000000,1100.000000,0.000000,1100.000000,994.000000,1100.000000,92.000000,1100.000000,21.000000,1100.000000,-72.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1110.000000,0.000000,1355.000000,0.000000,1355.000000,0.000000
1125.000000,0.000000,1125.000000,0.000000,1125.000000,0.000000,1125.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1126.000000,0.000000,1101.000000,64432.000000,1101.000000,65347.000000,1101.000000,63444.000000,1101.000000,65494.000000,1101.000000,15064.000000,1101.000000,20.000000,1101.000000,-10.000000,1101.000000,0.000000,1101.000000,994.000000,1101.000000,92.000000,1101.000000,21.000000,1101.000000,-72.000000,1111.000000,0.000000,1111.000000,0.000000,1111.000000,0.000000,1112.000000,0.000000,1112.000000,0.000000,1112.000000,0.000000,1112.000000,0.000000,1112.000000,0.000000,1112.000000,0.000000,1595.000000,0.000000,1595.000000,0.000000
1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1129.000000,0.000000,1101.000000,64312.000000,1101.000000,65338.000000,1101.000000,63368.000000,1101.000000,65500.000000,1101.000000,15308.000000,1101.000000,27.000000,1101.000000,-17.000000,1101.000000,-5.000000,1101.000000,1009.000000,1101.000000,-183.000000,1101.000000,204.000000,1101.000000,141.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1114.000000,0.000000,1831.000000,0.000000,1831.000000,0.000000
1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1132.000000,0.000000,1101.000000,64408.000000,1101.000000,65338.000000,1101.000000,63344.000000,1101.000000,65487.000000,1101.000000,15100.000000,1101.000000,19.000000,1101.000000,-11.000000,1102.000000,-6.000000,1102.000000,996.000000,1102.000000,-183.000000,1102.000000,-193.000000,1102.000000,-103.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,1116.000000,0.000000,2072.000000,0.000000,2072.000000,0.000000
1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1138.000000,0.000000,1102.000000,64496.000000,1102.000000,65342.000000,1102.000000,63344.000000,1102.000000,65498.000000,1102.000000,15332.000000,1102.000000,24.000000,1102.000000,-6.000000,1102.000000,-6.000000,1102.000000,1010.000000,1102.000000,-61.000000,1102.000000,143.000000,1102.000000,50.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,1118.000000,0.000000,2306.000000,0.000000,2306.000000,0.000000
1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1141.000000,0.000000,1102.000000,64600.000000,1102.000000,65345.000000,1102.000000,63436.000000,1102.000000,65498.000000,1102.000000,15164.000000,1102.000000,25.000000,1102.000000,0.000000,1102.000000,-1.000000,1102.000000,1000.000000,1102.000000,30.000000,1102.000000,143.000000,1103.000000,80.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,1121.000000,0.000000,2547.000000,0.000000,2547.000000,0.000000
