Time (ms),GUI.SCRN_NO,GUI.RENC_CLK,GUI.RENC_ACLK,GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,LED_CNTRL.XLED_PWM_Mode,LED_CNTRL.YLED_PWM_Mode,LED_CNTRL.ZLED_PWM_Mode,LED_CNTRL.XLED_state,LED_CNTRL.YLED_state,LED_CNTRL.ZLED_state,LED_CNTRL.TLED_OVRRD,LED_CNTRL.TLED_mode,LED_CNTRL.XLED_Brightness,LED_CNTRL.YLED_Brightness,LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Roll.Roll_Gyro,Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Pitch.Pitch_Gyro,Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Yaw.Yaw_Gyro,Yaw.Yaw_CF
96633.000000,0.000000,0.000000,0.000000,0.000000,96638.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96551.000000,64020.000000,65341.000000,96552.000000,252.000000,65489.000000,96552.000000,15172.000000,19.000000,96551.000000,0.000000,0.000000,96553.000000,1.000000,96553.000000,10.000000,96553.000000,998.000000,96558.000000,-195.000000,96546.000000,-338.000000,96546.000000,8.000000,96551.000000,0.000000,0.000000,0.000000,96551.000000,0.000000,0.000000,0.000000,96551.000000,0.000000,0.000000,0.000000
96727.000000,0.000000,0.000000,0.000000,0.000000,96733.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96558.000000,64128.000000,65347.000000,96563.000000,180.000000,65494.000000,96564.000000,15184.000000,23.000000,96783.000000,0.000000,0.000000,96564.000000,8.000000,96564.000000,5.000000,96564.000000,998.000000,96566.000000,-11.000000,96558.000000,-186.000000,96558.000000,-114.000000,96596.000000,0.000000,0.000000,0.000000,96596.000000,0.000000,0.000000,0.000000,96596.000000,0.000000,0.000000,0.000000
96822.000000,0.000000,0.000000,0.000000,0.000000,96828.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96566.000000,64128.000000,65347.000000,96572.000000,180.000000,65494.000000,96572.000000,15184.000000,23.000000,97025.000000,0.000000,0.000000,96572.000000,8.000000,96572.000000,5.000000,96572.000000,998.000000,96575.000000,-11.000000,96566.000000,-33.000000,96566.000000,8.000000,96643.000000,0.000000,0.000000,0.000000,96644.000000,0.000000,0.000000,0.000000,96644.000000,0.000000,0.000000,0.000000
96917.000000,0.000000,0.000000,0.000000,0.000000,96923.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96576.000000,64124.000000,65357.000000,96582.000000,280.000000,65494.000000,96582.000000,15100.000000,23.000000,97261.000000,0.000000,0.000000,96582.000000,7.000000,96582.000000,12.000000,96582.000000,993.000000,96586.000000,294.000000,96575.000000,-33.000000,96575.000000,8.000000,96689.000000,0.000000,0.000000,0.000000,96689.000000,0.000000,0.000000,0.000000,96691.000000,0.000000,0.000000,0.000000
97012.000000,0.000000,0.000000,0.000000,0.000000,97018.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96586.000000,64220.000000,65352.000000,96590.000000,100.000000,65505.000000,96591.000000,15364.000000,29.000000,97501.000000,0.000000,0.000000,96591.000000,13.000000,96591.000000,1.000000,96591.000000,1009.000000,96595.000000,141.000000,96586.000000,-33.000000,96586.000000,8.000000,96740.000000,0.000000,0.000000,0.000000,96741.000000,0.000000,0.000000,0.000000,96741.000000,0.000000,0.000000,0.000000
97107.000000,0.000000,0.000000,0.000000,0.000000,97114.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96596.000000,64296.000000,65349.000000,96600.000000,224.000000,65499.000000,96600.000000,15156.000000,20.000000,97733.000000,0.000000,0.000000,96600.000000,18.000000,96600.000000,8.000000,96600.000000,997.000000,96603.000000,50.000000,96596.000000,302.000000,96596.000000,192.000000,96783.000000,0.000000,0.000000,0.000000,96785.000000,0.000000,0.000000,0.000000,96786.000000,0.000000,0.000000,0.000000
97204.000000,0.000000,0.000000,0.000000,0.000000,97208.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96604.000000,64048.000000,65346.000000,96610.000000,96.000000,65493.000000,96610.000000,15268.000000,30.000000,97976.000000,0.000000,0.000000,96610.000000,3.000000,96610.000000,0.000000,96610.000000,1003.000000,96615.000000,-42.000000,96603.000000,119.000000,96603.000000,-83.000000,96836.000000,0.000000,0.000000,0.000000,96836.000000,0.000000,0.000000,0.000000,96836.000000,0.000000,0.000000,0.000000
97297.000000,0.000000,0.000000,0.000000,0.000000,97304.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96615.000000,64048.000000,65346.000000,96620.000000,96.000000,65493.000000,96620.000000,15268.000000,30.000000,98208.000000,0.000000,0.000000,96620.000000,3.000000,96620.000000,0.000000,96620.000000,1003.000000,96622.000000,-42.000000,96615.000000,-64.000000,96615.000000,222.000000,96879.000000,0.000000,0.000000,0.000000,96879.000000,0.000000,0.000000,0.000000,96880.000000,0.000000,0.000000,0.000000
97392.000000,0.000000,0.000000,0.000000,0.000000,97398.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96623.000000,64088.000000,65350.000000,96629.000000,44.000000,65496.000000,96629.000000,15240.000000,25.000000,98449.000000,0.000000,0.000000,96629.000000,5.000000,96629.000000,-3.000000,96629.000000,1002.000000,96633.000000,80.000000,96622.000000,-64.000000,96623.000000,222.000000,96928.000000,0.000000,0.000000,0.000000,96929.000000,0.000000,0.000000,0.000000,96929.000000,0.000000,0.000000,0.000000
97488.000000,0.000000,0.000000,0.000000,0.000000,97493.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96638.000000,64072.000000,65346.000000,96638.000000,56.000000,65488.000000,96638.000000,15216.000000,19.000000,98683.000000,0.000000,0.000000,96638.000000,4.000000,96640.000000,-2.000000,96641.000000,1000.000000,96641.000000,-42.000000,96633.000000,28.000000,96633.000000,69.000000,96975.000000,0.000000,0.000000,0.000000,96975.000000,0.000000,0.000000,0.000000,96976.000000,0.000000,0.000000,0.000000
