FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  63  :  2  :  76  ],Rx,PASSED,135
4,[  255  :  210  :  249  :  4  ],Rx,PASSED,135
5,[  0  :  25  :  59  :  220  ],Rx,PASSED,136
7,[  255  :  255  :  255  :  255  ],Rx,PASSED,136
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,136
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,136
10,[  255  :  255  :  255  :  198  ],Rx,PASSED,136
11,[  255  :  255  :  255  :  120  ],Rx,PASSED,136
12,[  0  :  0  :  0  :  76  ],Rx,PASSED,136
3,[  255  :  63  :  2  :  76  ],Rx,PASSED,141
4,[  255  :  210  :  249  :  4  ],Rx,PASSED,141
5,[  0  :  25  :  59  :  220  ],Rx,PASSED,141
7,[  255  :  255  :  255  :  255  ],Rx,PASSED,141
8,[  0  :  0  :  0  :  2  ],Rx,PASSED,141
9,[  0  :  0  :  3  :  234  ],Rx,PASSED,143
10,[  255  :  255  :  255  :  198  ],Rx,PASSED,143
11,[  255  :  255  :  255  :  120  ],Rx,PASSED,144
12,[  0  :  0  :  0  :  76  ],Rx,PASSED,144
13,[  64  :  0  :  0  :  0  ],Rx,PASSED,144
14,[  64  :  0  :  0  :  0  ],Rx,PASSED,145
15,[  64  :  0  :  0  :  0  ],Rx,PASSED,145
3,[  255  :  65  :  2  :  112  ],Rx,PASSED,150
4,[  255  :  213  :  248  :  196  ],Rx,PASSED,150
5,[  0  :  24  :  59  :  116  ],Rx,PASSED,150
7,[  0  :  0  :  0  :  2  ],Rx,PASSED,150
8,[  255  :  255  :  255  :  254  ],Rx,PASSED,150
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,154
10,[  0  :  0  :  0  :  3  ],Rx,PASSED,154
11,[  255  :  255  :  255  :  211  ],Rx,PASSED,154
12,[  0  :  0  :  0  :  46  ],Rx,PASSED,154
3,[  255  :  62  :  2  :  68  ],Rx,PASSED,159
4,[  255  :  215  :  249  :  68  ],Rx,PASSED,159
5,[  0  :  28  :  59  :  252  ],Rx,PASSED,159
7,[  255  :  255  :  255  :  255  ],Rx,PASSED,159
8,[  0  :  0  :  0  :  6  ],Rx,PASSED,159
9,[  0  :  0  :  3  :  236  ],Rx,PASSED,164
10,[  255  :  255  :  255  :  168  ],Rx,PASSED,164
