FID,Data Bytes,Direction,Checksum,Time (ms)
3,[  255  :  160  :  250  :  236  ],Rx,PASSED,144
4,[  255  :  241  :  255  :  12  ],Rx,PASSED,162
5,[  0  :  12  :  61  :  44  ],Rx,PASSED,178
7,[  255  :  255  :  255  :  244  ],Rx,PASSED,193
8,[  255  :  255  :  255  :  242  ],Rx,PASSED,209
9,[  0  :  0  :  3  :  238  ],Rx,PASSED,224
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,237
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,253
12,[  0  :  0  :  0  :  28  ],Rx,PASSED,268
3,[  255  :  161  :  251  :  112  ],Rx,PASSED,284
4,[  255  :  237  :  254  :  160  ],Rx,PASSED,300
5,[  0  :  10  :  60  :  152  ],Rx,PASSED,313
7,[  255  :  255  :  255  :  252  ],Rx,PASSED,327
8,[  255  :  255  :  255  :  235  ],Rx,PASSED,339
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,354
10,[  0  :  0  :  0  :  90  ],Rx,PASSED,369
11,[  255  :  255  :  255  :  228  ],Rx,PASSED,376
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,390
3,[  255  :  160  :  250  :  152  ],Rx,PASSED,405
4,[  255  :  236  :  254  :  212  ],Rx,PASSED,420
5,[  0  :  10  :  61  :  220  ],Rx,PASSED,433
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,446
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,461
9,[  0  :  0  :  3  :  249  ],Rx,PASSED,475
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,491
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,506
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,521
3,[  255  :  160  :  250  :  152  ],Rx,PASSED,537
4,[  255  :  236  :  254  :  212  ],Rx,PASSED,551
5,[  0  :  10  :  61  :  220  ],Rx,PASSED,566
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,580
8,[  255  :  255  :  255  :  238  ],Rx,PASSED,594
9,[  0  :  0  :  3  :  249  ],Rx,PASSED,609
10,[  0  :  0  :  0  :  29  ],Rx,PASSED,624
11,[  255  :  255  :  255  :  167  ],Rx,PASSED,639
12,[  255  :  255  :  255  :  162  ],Rx,PASSED,651
3,[  255  :  162  :  250  :  152  ],Rx,PASSED,666
4,[  255  :  235  :  254  :  180  ],Rx,PASSED,682
5,[  0  :  9  :  60  :  144  ],Rx,PASSED,699
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,714
8,[  255  :  255  :  255  :  236  ],Rx,PASSED,728
9,[  0  :  0  :  3  :  229  ],Rx,PASSED,743
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,758
11,[  255  :  255  :  255  :  106  ],Rx,PASSED,773
12,[  255  :  255  :  255  :  101  ],Rx,PASSED,788
13,[  127  :  175  :  235  :  251  ],Rx,PASSED,802
14,[  64  :  15  :  244  :  4  ],Rx,PASSED,816
15,[  127  :  191  :  236  :  0  ],Rx,PASSED,829
3,[  255  :  156  :  250  :  144  ],Rx,PASSED,843
4,[  255  :  231  :  254  :  224  ],Rx,PASSED,860
5,[  0  :  8  :  60  :  96  ],Rx,PASSED,875
7,[  255  :  255  :  255  :  239  ],Rx,PASSED,882
8,[  255  :  255  :  255  :  239  ],Rx,PASSED,897
9,[  0  :  0  :  3  :  226  ],Rx,PASSED,909
10,[  255  :  255  :  255  :  41  ],Rx,PASSED,923
11,[  255  :  255  :  254  :  118  ],Rx,PASSED,938
12,[  255  :  255  :  255  :  40  ],Rx,PASSED,951
3,[  255  :  162  :  250  :  56  ],Rx,PASSED,963
4,[  255  :  241  :  254  :  132  ],Rx,PASSED,979
5,[  0  :  14  :  60  :  112  ],Rx,PASSED,993
7,[  255  :  255  :  255  :  233  ],Rx,PASSED,1011
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,1027
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,1043
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,1059
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,1073
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,1084
3,[  255  :  162  :  250  :  56  ],Rx,PASSED,1101
4,[  255  :  241  :  254  :  132  ],Rx,PASSED,1114
5,[  0  :  14  :  60  :  112  ],Rx,PASSED,1132
7,[  255  :  255  :  255  :  233  ],Rx,PASSED,1148
8,[  255  :  255  :  255  :  233  ],Rx,PASSED,1161
9,[  0  :  0  :  3  :  227  ],Rx,PASSED,1177
10,[  0  :  0  :  0  :  151  ],Rx,PASSED,1191
11,[  0  :  0  :  0  :  216  ],Rx,PASSED,1205
12,[  0  :  0  :  0  :  150  ],Rx,PASSED,1220
3,[  255  :  159  :  250  :  140  ],Rx,PASSED,1236
4,[  255  :  240  :  254  :  156  ],Rx,PASSED,1245
5,[  0  :  13  :  60  :  116  ],Rx,PASSED,1260
