Time (ms),GUI.SCRN_NO,Time (ms),GUI.RENC_CLK,Time (ms),GUI.RENC_ACLK,Time (ms),GUI.RENC_SW,Time (ms),LED_CNTRL.LED_OVRRD,Time (ms),LED_CNTRL.XLED_PWM_Mode,Time (ms),LED_CNTRL.YLED_PWM_Mode,Time (ms),LED_CNTRL.ZLED_PWM_Mode,Time (ms),LED_CNTRL.XLED_state,Time (ms),LED_CNTRL.YLED_state,Time (ms),LED_CNTRL.ZLED_state,Time (ms),LED_CNTRL.TLED_OVRRD,Time (ms),LED_CNTRL.TLED_mode,Time (ms),LED_CNTRL.XLED_Brightness,Time (ms),LED_CNTRL.YLED_Brightness,Time (ms),LED_CNTRL.ZLED_Brightness,Time (ms),IMU_X_Raw.XACCEL_raw,Time (ms),IMU_X_Raw.XGYRO_raw,Time (ms),IMU_Y_Raw.YACCEL_raw,Time (ms),IMU_Y_Raw.YGYRO_raw,Time (ms),IMU_Z_Raw.ZACCEL_raw,Time (ms),IMU_Z_Raw.ZGYRO_raw,Time (ms),IMU_Temp.IMU_Temp_Raw,Time (ms),IMU_Temp.IMU_Temp_Processed,Time (ms),IMU_XACCEL_Processed.IMU_XACCEL_Processed,Time (ms),IMU_YACCEL_Processed.IMU_YACCEL_Processed,Time (ms),IMU_ZACCEL_Processed.IMU_ZACCEL_Processed,Time (ms),IMU_XGYRO_Processed.IMU_XGYRO_Processed,Time (ms),IMU_YGYRO_Processed.IMU_YGYRO_Processed,Time (ms),IMU_ZGYRO_Processed.IMU_ZGYRO_Processed,Time (ms),Roll.Roll_Accel,Time (ms),Roll.Roll_Gyro,Time (ms),Roll.Roll_CF,Time (ms),Pitch.Pitch_Accel,Time (ms),Pitch.Pitch_Gyro,Time (ms),Pitch.Pitch_CF,Time (ms),Yaw.Yaw_Accel,Time (ms),Yaw.Yaw_Gyro,Time (ms),Yaw.Yaw_CF
193150.000000,0.000000,193150.000000,0.000000,193150.000000,0.000000,193150.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193155.000000,0.000000,193092.000000,64096.000000,193092.000000,65341.000000,193099.000000,64.000000,193099.000000,65476.000000,193099.000000,15176.000000,193099.000000,22.000000,193207.000000,0.000000,193207.000000,0.000000,193089.000000,6.000000,193089.000000,-2.000000,193089.000000,998.000000,193092.000000,-195.000000,193092.000000,-583.000000,193092.000000,-22.000000,193111.000000,0.000000,193111.000000,0.000000,193111.000000,0.000000,193111.000000,0.000000,193111.000000,0.000000,193111.000000,0.000000,193113.000000,0.000000,193113.000000,0.000000,193113.000000,0.000000
193244.000000,0.000000,193244.000000,0.000000,193244.000000,0.000000,193244.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193251.000000,0.000000,193103.000000,64132.000000,193103.000000,65342.000000,193109.000000,72.000000,193109.000000,65478.000000,193109.000000,15144.000000,193109.000000,18.000000,193447.000000,0.000000,193447.000000,0.000000,193099.000000,6.000000,193099.000000,-2.000000,193099.000000,998.000000,193103.000000,-195.000000,193103.000000,-583.000000,193103.000000,-22.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000,193161.000000,0.000000
193339.000000,0.000000,193339.000000,0.000000,193339.000000,0.000000,193339.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193345.000000,0.000000,193113.000000,64120.000000,193113.000000,65344.000000,193118.000000,108.000000,193118.000000,65488.000000,193118.000000,15208.000000,193118.000000,23.000000,193681.000000,0.000000,193681.000000,0.000000,193109.000000,8.000000,193109.000000,-1.000000,193109.000000,996.000000,193111.000000,-164.000000,193111.000000,-522.000000,193111.000000,-144.000000,193207.000000,0.000000,193207.000000,0.000000,193207.000000,0.000000,193208.000000,0.000000,193208.000000,0.000000,193208.000000,0.000000,193208.000000,0.000000,193208.000000,0.000000,193208.000000,0.000000
193435.000000,0.000000,193435.000000,0.000000,193435.000000,0.000000,193435.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193441.000000,0.000000,193121.000000,64128.000000,193121.000000,65345.000000,193129.000000,208.000000,193129.000000,65495.000000,193129.000000,15152.000000,193129.000000,23.000000,193922.000000,0.000000,193922.000000,0.000000,193118.000000,7.000000,193118.000000,1.000000,193118.000000,1000.000000,193121.000000,-103.000000,193121.000000,-216.000000,193121.000000,8.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000,193256.000000,0.000000
193529.000000,0.000000,193529.000000,0.000000,193529.000000,0.000000,193529.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193536.000000,0.000000,193131.000000,64128.000000,193131.000000,65345.000000,193137.000000,208.000000,193137.000000,65495.000000,193137.000000,15152.000000,193137.000000,23.000000,194157.000000,0.000000,194157.000000,0.000000,193129.000000,8.000000,193129.000000,7.000000,193129.000000,996.000000,193130.000000,-73.000000,193130.000000,-3.000000,193131.000000,8.000000,193300.000000,0.000000,193300.000000,0.000000,193300.000000,0.000000,193300.000000,0.000000,193300.000000,0.000000,193300.000000,0.000000,193303.000000,0.000000,193303.000000,0.000000,193303.000000,0.000000
193625.000000,0.000000,193625.000000,0.000000,193625.000000,0.000000,193625.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193631.000000,0.000000,193141.000000,64052.000000,193141.000000,65346.000000,193146.000000,176.000000,193146.000000,65498.000000,193146.000000,15324.000000,193146.000000,29.000000,194398.000000,0.000000,194398.000000,0.000000,193137.000000,8.000000,193137.000000,7.000000,193137.000000,996.000000,193141.000000,-73.000000,193141.000000,-3.000000,193141.000000,8.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000,193352.000000,0.000000
193720.000000,0.000000,193720.000000,0.000000,193720.000000,0.000000,193720.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193727.000000,0.000000,193156.000000,64048.000000,193156.000000,65352.000000,193156.000000,132.000000,193156.000000,65498.000000,193156.000000,15228.000000,193156.000000,23.000000,194632.000000,0.000000,194632.000000,0.000000,193146.000000,3.000000,193146.000000,5.000000,193146.000000,1007.000000,193150.000000,-42.000000,193150.000000,89.000000,193150.000000,192.000000,193396.000000,0.000000,193396.000000,0.000000,193396.000000,0.000000,193396.000000,0.000000,193396.000000,0.000000,193396.000000,0.000000,193398.000000,0.000000,193398.000000,0.000000,193398.000000,0.000000
193816.000000,0.000000,193816.000000,0.000000,193816.000000,0.000000,193816.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193820.000000,0.000000,193161.000000,64092.000000,193161.000000,65350.000000,193166.000000,188.000000,193166.000000,65499.000000,193166.000000,15152.000000,193166.000000,26.000000,194872.000000,0.000000,194872.000000,0.000000,193156.000000,3.000000,193158.000000,3.000000,193158.000000,1001.000000,193158.000000,141.000000,193158.000000,89.000000,193158.000000,8.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000,193447.000000,0.000000
193910.000000,0.000000,193910.000000,0.000000,193910.000000,0.000000,193910.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193916.000000,0.000000,193168.000000,64128.000000,193168.000000,65356.000000,193177.000000,180.000000,193177.000000,65494.000000,193177.000000,15128.000000,193177.000000,20.000000,195106.000000,0.000000,195106.000000,0.000000,193166.000000,5.000000,193166.000000,6.000000,193166.000000,996.000000,193168.000000,80.000000,193168.000000,119.000000,193168.000000,100.000000,193491.000000,0.000000,193491.000000,0.000000,193491.000000,0.000000,193492.000000,0.000000,193492.000000,0.000000,193492.000000,0.000000,193493.000000,0.000000,193493.000000,0.000000,193493.000000,0.000000
194005.000000,0.000000,194005.000000,0.000000,194005.000000,0.000000,194005.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,194011.000000,0.000000,193178.000000,64128.000000,193178.000000,65356.000000,193184.000000,180.000000,193184.000000,65494.000000,193184.000000,15128.000000,193184.000000,20.000000,195347.000000,0.000000,195347.000000,0.000000,193177.000000,8.000000,193177.000000,5.000000,193177.000000,995.000000,193178.000000,263.000000,193178.000000,-33.000000,193178.000000,-83.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000,193541.000000,0.000000
